GAME_DETAILS_ID,GAME_ID,TEAM_ID,PLAYER_ID,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
216,21900888,1610612737,201952,,,17:17,1,4,0,0,1,0,1,1,1,0,2,2,3,0,0,3,0,3,2
217,21900888,1610612737,1713,,,12:11,1,5,0,1,4,0,0,0,0,1,3,4,0,2,0,1,0,3,-2
218,21900888,1610612737,1629164,,,6:08,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3
219,21900888,1610612737,1627745,,,5:40,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,10
220,21900888,1610612737,1626203,,,13:19,5,5,1,2,2,1,0,1,0,0,2,2,1,1,0,1,1,12,5
221,21900889,1610612751,203925,F,,30:53,7,15,467,5,9,556,1,2,1,1,3,4,3,0,0,0,1,20,11
222,21900889,1610612751,1627752,F,,21:06,3,8,375,3,8,375,1,2,1,0,2,2,0,0,0,0,5,10,14
223,21900889,1610612751,1628386,C,,27:46,7,8,875,0,0,0,3,4,1,4,7,11,0,0,0,0,1,17,-5
224,21900889,1610612751,1627747,G,,35:14,6,17,353,1,6,167,2,2,1,0,3,3,4,1,0,4,2,15,-7
225,21900889,1610612751,203915,G,,32:22,7,15,467,2,7,286,9,10,1,0,4,4,12,0,0,3,4,25,6
226,21900889,1610612751,1629066,,,12:34,1,2,1,0,1,0,0,1,0,0,2,2,1,1,0,0,3,2,-15
227,21900889,1610612751,202066,,,22:11,3,7,429,1,4,0,0,0,0,0,5,5,4,0,1,0,0,7,-10
228,21900889,1610612751,201599,,,20:00,1,1,1,0,0,0,1,2,1,2,7,9,3,0,1,0,2,3,1
229,21900889,1610612751,201163,,,19:42,4,8,1,3,5,1,0,0,0,0,1,1,2,0,1,3,3,11,-8
230,21900889,1610612751,1627789,,,18:12,1,5,0,1,4,0,0,0,0,1,2,3,1,1,0,0,2,3,-2
231,21900889,1610612751,1629185,,DNP - Coach's Decision                  ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,21900889,1610612751,1629651,,DNP - Coach's Decision                  ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,21900889,1610612751,1629033,,DNP - Coach's Decision                  ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,21900889,1610612748,202710,F,,36:22,5,14,357,0,1,0,6,9,667,3,3,6,8,1,0,2,1,16,-3
235,21900889,1610612748,1627884,F,,19:43,4,11,364,2,6,333,2,2,1,2,4,6,1,1,0,0,3,12,0
236,21900889,1610612748,1628389,C,,32:15,7,12,583,0,0,0,2,2,1,2,10,12,3,0,3,1,1,16,2
237,21900889,1610612748,1629130,G,,28:00,3,7,429,2,6,333,2,2,1,0,3,3,0,1,0,0,3,10,4
238,21900889,1610612748,1629134,G,,35:29,9,14,643,3,7,429,0,0,0,1,3,4,1,0,0,0,4,21,-3
239,21900889,1610612748,201609,,,32:13,6,16,375,4,9,444,3,4,1,0,3,3,10,0,0,1,2,19,8
240,21900889,1610612748,203109,,,28:23,4,10,0,2,6,333,3,3,1,0,4,4,0,1,0,0,3,13,-2
241,21900889,1610612748,203482,,,15:45,2,4,1,1,2,1,2,2,1,1,1,2,2,0,0,0,4,7,1
242,21900889,1610612748,2738,,,11:50,1,3,333,0,1,0,0,0,0,1,4,5,2,0,1,2,0,2,8
243,21900889,1610612748,2617,,DNP - Coach's Decision                  ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,21900889,1610612748,203524,,DNP - Coach's Decision                  ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,21900889,1610612748,1629735,,DNP - Coach's Decision                  ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,21900890,1610612754,203933,F,,36:11,14,20,1,2,4,1,0,0,0,1,2,3,6,1,0,3,2,30,17
248,21900890,1610612754,1627734,F,,41:54,8,13,615,0,1,0,2,4,1,3,10,13,9,2,1,0,2,18,6
249,21900890,1610612754,1626167,C,,35:51,4,9,444,2,4,1,0,0,0,3,7,10,0,0,4,2,3,10,23
250,21900890,1610612754,203506,G,,28:44,7,15,467,2,5,0,3,4,1,1,2,3,1,3,0,0,1,19,10
251,21900890,1610612754,1627763,G,,35:14,9,13,692,0,1,0,4,4,1,0,1,1,8,1,0,1,2,22,20
252,21900890,1610612754,1628988,,,15:03,1,3,333,1,2,1,0,0,0,0,0,0,2,0,1,2,1,3,-7
253,21900890,1610612754,203200,,,14:18,1,3,333,0,2,0,0,0,0,0,3,3,0,3,0,1,4,2,-5
254,21900890,1610612754,204456,,,16:59,0,4,0,0,0,0,0,0,0,0,3,3,3,0,0,1,1,0,-5
255,21900890,1610612754,1629048,,,3:37,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-7
256,21900890,1610612754,203926,,,10:14,3,6,1,1,3,333,2,2,1,0,1,1,1,0,0,3,2,9,-4
257,21900890,1610612754,203960,,,1:55,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,-3
258,21900890,1610612754,1628388,,DNP - Coach's Decision                  ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,21900890,1610612754,1628410,,DNP - Coach's Decision                  ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,21900890,1610612739,1626224,F,,22:20,3,6,1,1,3,333,1,2,1,0,1,1,2,0,0,0,0,8,-4
261,21900890,1610612739,201567,F,,37:18,6,9,667,1,4,0,7,8,875,2,10,12,7,1,0,2,0,20,-6
262,21900890,1610612739,203083,C,,35:36,12,21,571,0,3,0,3,3,1,1,12,13,4,4,1,1,3,27,-18
263,21900890,1610612739,1629012,G,,37:03,7,16,438,1,3,333,1,2,1,1,2,3,4,0,0,3,2,16,-1
264,21900890,1610612739,1629636,G,,29:45,5,13,385,0,2,0,0,0,0,1,1,2,5,0,0,2,2,10,-14
265,21900890,1610612739,1629645,,,34:20,5,13,385,2,6,333,2,2,1,0,2,2,3,1,2,2,4,14,-9
266,21900890,1610612739,1626204,,,25:10,1,4,0,0,1,0,3,3,1,0,1,1,3,3,0,0,0,5,4
267,21900890,1610612739,203521,,,18:28,2,3,667,0,0,0,0,0,0,1,1,2,2,0,0,3,2,4,3
269,21900890,1610612739,1629731,,DNP - Coach's Decision                  ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,21900890,1610612739,1627790,,DNP - Coach's Decision                  ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,21900891,1610612747,2544,F,,34:20,8,18,444,2,8,0,1,2,1,2,6,8,10,1,1,5,1,19,-12
272,21900891,1610612747,203076,F,,24:44,7,12,583,1,3,333,0,1,0,2,7,9,4,0,2,1,2,15,-10
273,21900891,1610612747,201580,C,,16:35,1,1,1,0,0,0,0,0,0,2,3,5,0,0,0,1,2,2,-2
274,21900891,1610612747,202340,G,,20:41,2,8,0,2,6,333,0,0,0,0,1,1,2,0,0,2,2,6,-4
275,21900891,1610612747,1627936,G,,20:33,3,5,1,1,2,1,2,2,1,0,2,2,0,1,0,0,0,9,-8
276,21900891,1610612747,203484,,,28:53,5,12,417,1,4,0,0,0,0,1,1,2,2,0,0,0,1,11,-18
277,21900891,1610612747,1628398,,,26:19,5,12,417,0,2,0,0,1,0,0,5,5,2,0,0,3,1,10,-9
278,21900891,1610612747,200765,,,25:07,1,4,0,0,2,0,0,0,0,0,1,1,4,1,0,2,0,2,-11
279,21900891,1610612747,202693,,,16:38,2,9,222,1,6,167,0,0,0,3,1,4,2,0,0,0,0,5,-13
280,21900891,1610612747,2730,,,18:17,1,3,333,0,0,0,4,6,667,3,4,7,0,2,0,0,4,6,-3
281,21900891,1610612747,201162,,,3:04,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
282,21900891,1610612747,203584,,,3:04,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1
283,21900891,1610612747,1626188,,,1:45,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,3
284,21900891,1610612763,1628415,F,,34:47,9,24,375,3,11,273,3,3,1,1,4,5,0,0,0,2,4,24,15
