GAME_DETAILS_ID,GAME_ID,TEAM_ID,PLAYER_ID,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
50,21900897,1610612755,203922,F,,13:58,1,3,333,0,1,0,0,0,0,1,1,2,0,0,0,1,2,2,1
51,21900897,1610612755,202699,F,,40:58,11,21,524,3,7,429,0,1,0,2,2,4,4,1,0,1,3,25,-5
52,21900897,1610612755,201143,C,,29:00,4,11,364,1,4,0,3,3,1,2,6,8,6,1,2,2,6,12,5
53,21900897,1610612755,1626196,G,,10:17,4,6,667,1,1,1,0,0,0,0,1,1,1,0,0,0,0,9,5
54,21900897,1610612755,1629003,G,,39:36,14,20,1,7,9,778,4,5,1,1,2,3,5,1,0,2,5,39,4
55,21900897,1610612755,1627788,,,28:58,2,9,222,2,6,333,2,3,667,0,2,2,3,0,1,2,4,8,-8
56,21900897,1610612755,1629680,,,15:42,3,5,1,1,3,333,0,2,0,0,1,1,1,1,0,0,1,7,-6
57,21900897,1610612755,203124,,,7:16,0,1,0,0,1,0,2,4,1,2,1,3,1,1,0,0,1,2,-12
58,21900897,1610612755,202692,,,25:24,5,13,385,3,7,429,2,2,1,0,6,6,3,0,0,1,0,15,-9
59,21900897,1610612755,203118,,,26:13,4,6,667,3,4,1,0,0,0,2,4,6,3,2,1,0,5,11,0
60,21900897,1610612755,203658,,,2:38,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,-5
61,21900897,1610612755,203526,,DNP - Coach's Decision                  ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,21900897,1610612746,202695,F,,33:35,10,20,1,2,5,0,8,9,889,2,4,6,3,1,0,1,0,30,1
63,21900897,1610612746,202694,F,,27:18,3,4,1,1,1,1,2,2,1,0,2,2,1,1,1,0,1,9,-4
64,21900897,1610612746,1627826,C,,19:23,2,2,1,0,0,0,0,0,0,1,2,3,2,0,1,1,2,4,3
65,21900897,1610612746,202331,G,,30:03,8,13,615,4,8,1,4,5,1,1,3,4,1,2,0,1,3,24,-11
66,21900897,1610612746,201976,G,,23:49,0,3,0,0,2,0,0,0,0,0,4,4,4,0,0,1,4,0,-11
67,21900897,1610612746,1629013,,,15:16,1,2,1,1,1,1,0,0,0,0,0,0,2,0,0,1,1,3,12
68,21900897,1610612746,101150,,,28:08,8,12,667,3,4,1,5,8,625,0,2,2,8,1,0,3,0,24,19
69,21900897,1610612746,1626149,,,27:34,7,12,583,0,0,0,10,13,769,2,7,9,0,1,1,2,3,24,3
70,21900897,1610612746,202704,,,19:28,4,5,1,1,1,1,4,4,1,0,4,4,3,0,2,0,1,13,10
71,21900897,1610612746,203210,,,15:26,2,3,667,1,2,1,0,0,0,0,3,3,1,0,1,0,2,5,8
72,21900897,1610612746,1629599,,DNP - Coach's Decision                  ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,21900897,1610612746,203585,,DNP - Coach's Decision                  ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,21900897,1610612746,202335,,DNP - Coach's Decision                  ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,21900898,1610612761,1628384,F,,39:47,12,16,1,3,6,1,5,5,1,2,5,7,3,7,0,0,5,32,-11
76,21900898,1610612761,1627783,F,,39:31,6,21,286,1,7,143,3,4,1,1,6,7,5,2,1,4,5,16,-13
77,21900898,1610612761,1626178,C,,24:40,3,6,1,0,0,0,3,3,1,3,0,3,3,0,2,0,1,9,-2
