GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
2020-02-24,21900854,Final,1610612742,1610612750,2019,139,505,0.75,364,28,54,1610612750,123,442,706,357,16,42,1
2020-02-24,21900855,Final,1610612762,1610612756,2019,111,471,0.86,385,16,30,1610612756,131,563,875,0.6,33,38,0
2020-02-24,21900856,Final,1610612746,1610612763,2019,124,0.5,824,432,33,50,1610612763,97,416,727,259,20,45,1
2020-02-23,21900842,Final,1610612747,1610612738,2019,114,453,676,324,20,46,1610612738,112,458,767,382,20,44,1
2020-02-23,21900843,Final,1610612761,1610612754,2019,127,511,889,386,32,57,1610612754,81,326,647,242,23,39,1
2020-02-23,21900844,Final,1610612743,1610612750,2019,128,589,647,367,29,38,1610612750,116,444,759,0.35,26,38,1
2020-02-23,21900845,Final,1610612741,1610612764,2019,126,556,643,486,27,37,1610612764,117,507,861,0.4,24,34,1
2020-02-23,21900846,Final,1610612760,1610612759,2019,131,575,875,455,28,54,1610612759,103,369,842,289,27,43,1
2020-02-23,21900847,Final,1610612744,1610612740,2019,101,435,667,314,28,48,1610612740,115,469,462,405,34,52,0
2020-02-23,21900848,Final,1610612757,1610612765,2019,107,488,632,433,20,41,1610612765,104,0.43,0.95,314,18,44,1
2020-02-22,21900835,Final,1610612746,1610612758,2019,103,391,862,333,20,47,1610612758,112,449,769,387,25,48,0
2020-02-22,21900836,Final,1610612766,1610612751,2019,86,352,571,343,22,45,1610612751,115,483,737,362,26,54,0
2020-02-22,21900837,Final,1610612737,1610612742,2019,111,439,654,216,27,53,1610612742,107,449,684,318,23,48,1
2020-02-22,21900838,Final,1610612748,1610612739,2019,124,0.57,0.75,475,34,29,1610612739,105,481,727,361,29,40,1
2020-02-22,21900839,Final,1610612741,1610612756,2019,104,434,857,368,18,38,1610612756,112,442,839,333,26,47,0
2020-02-22,21900840,Final,1610612749,1610612755,2019,119,527,692,341,35,57,1610612755,98,354,833,342,17,43,1
2020-02-22,21900841,Final,1610612762,1610612745,2019,110,467,792,226,18,46,1610612745,120,489,714,417,20,42,0
2020-02-21,21900826,Final,1610612753,1610612742,2019,106,394,789,209,21,48,1610612742,122,512,808,395,26,50,0
2020-02-21,21900827,Final,1610612764,1610612739,2019,108,387,739,243,24,47,1610612739,113,531,0.64,407,19,47,0
2020-02-21,21900828,Final,1610612752,1610612754,2019,98,432,0.68,0.44,21,40,1610612754,106,409,788,286,20,50,0
2020-02-21,21900829,Final,1610612761,1610612756,2019,118,525,909,378,24,48,1610612756,101,413,826,176,29,34,1
2020-02-21,21900830,Final,1610612750,1610612738,2019,117,404,857,357,23,43,1610612738,127,463,784,345,21,58,0
2020-02-21,21900831,Final,1610612760,1610612743,2019,113,0.46,889,346,19,44,1610612743,101,481,913,222,19,39,1
2020-02-21,21900832,Final,1610612762,1610612759,2019,104,427,846,364,25,47,1610612759,113,0.44,885,0.5,22,48,0
2020-02-21,21900833,Final,1610612747,1610612763,2019,117,477,0.65,0.31,25,49,1610612763,105,457,516,333,22,50,1
2020-02-21,21900834,Final,1610612757,1610612740,2019,115,457,0.76,0.37,20,46,1610612740,128,536,606,529,36,46,0
2020-02-20,21900820,Final,1610612765,1610612749,2019,106,482,813,351,25,46,1610612749,126,505,815,303,24,41,0
2020-02-20,21900821,Final,1610612737,1610612748,2019,129,482,886,457,22,41,1610612748,124,408,868,297,28,51,1
2020-02-20,21900822,Final,1610612755,1610612751,2019,112,442,914,182,19,48,1610612751,104,353,786,294,22,49,1
2020-02-20,21900823,Final,1610612741,1610612766,2019,93,425,632,226,24,38,1610612766,103,473,862,286,22,44,0
2020-02-20,21900824,Final,1610612758,1610612763,2019,129,506,722,487,22,27,1610612763,125,506,844,0.4,25,51,1
2020-02-20,21900825,Final,1610612744,1610612745,2019,105,494,833,212,26,40,1610612745,135,529,909,0.51,31,36,0
2020-02-13,21900818,Final,1610612738,1610612746,2019,141,437,825,419,22,51,1610612746,133,418,811,314,19,55,1
2020-02-13,21900819,Final,1610612740,1610612760,2019,118,488,741,0.4,31,46,1610612760,123,0.5,818,481,28,40,0
2020-02-12,21900807,Final,1610612739,1610612737,2019,127,511,0.84,357,25,55,1610612737,105,429,0.8,382,24,38,1
2020-02-12,21900808,Final,1610612753,1610612765,2019,116,458,889,333,34,46,1610612765,112,435,933,0.4,28,47,1
