RANKING_ID,TEAM_ID,STANDINGSDATE,CONFERENCE,G,W,L,W_PCT,HOME_RECORD,ROAD_RECORD
673,1610612752,2020-02-13,East,55,17,38,0.31,8-19,9-19
674,1610612737,2020-02-13,East,56,15,41,0.27,9-17,6-24
675,1610612739,2020-02-13,East,54,14,40,0.26,7-22,7-18
676,1610612749,2020-02-12,East,54,46,8,0.85,25-3,21-5
677,1610612761,2020-02-12,East,55,40,15,0.73,21-7,19-8
678,1610612738,2020-02-12,East,53,37,16,0.7,22-5,15-11
679,1610612748,2020-02-12,East,54,35,19,0.65,22-3,13-16
680,1610612755,2020-02-12,East,55,34,21,0.62,25-2,9-19
681,1610612754,2020-02-12,East,55,32,23,0.58,19-10,13-13
682,1610612751,2020-02-12,East,53,25,28,0.47,16-12,9-16
683,1610612753,2020-02-12,East,55,24,31,0.44,15-13,9-18
684,1610612764,2020-02-12,East,53,20,33,0.38,13-13,7-20
685,1610612741,2020-02-12,East,55,19,36,0.35,11-16,8-20
686,1610612765,2020-02-12,East,57,19,38,0.33,11-19,8-19
687,1610612766,2020-02-12,East,54,18,36,0.33,8-17,10-19
688,1610612752,2020-02-12,East,55,17,38,0.31,8-19,9-19
689,1610612737,2020-02-12,East,56,15,41,0.27,9-17,6-24
690,1610612739,2020-02-12,East,54,14,40,0.26,7-22,7-18
691,1610612749,2020-02-11,East,53,46,7,0.87,25-3,21-4
692,1610612761,2020-02-11,East,54,40,14,0.74,21-7,19-7
693,1610612738,2020-02-11,East,53,37,16,0.7,22-5,15-11
694,1610612748,2020-02-11,East,53,35,18,0.66,22-3,13-15
695,1610612755,2020-02-11,East,55,34,21,0.62,25-2,9-19
696,1610612754,2020-02-11,East,54,31,23,0.57,18-10,13-13
697,1610612751,2020-02-11,East,52,24,28,0.46,15-12,9-16
698,1610612753,2020-02-11,East,54,23,31,0.43,14-13,9-18
699,1610612764,2020-02-11,East,52,19,33,0.37,13-13,6-20
700,1610612741,2020-02-11,East,55,19,36,0.35,11-16,8-20
701,1610612765,2020-02-11,East,56,19,37,0.34,11-19,8-18
702,1610612766,2020-02-11,East,53,17,36,0.32,8-17,9-19
703,1610612752,2020-02-11,East,54,17,37,0.31,8-18,9-19
704,1610612737,2020-02-11,East,55,15,40,0.27,9-17,6-23
705,1610612739,2020-02-11,East,53,13,40,0.25,6-22,7-18
706,1610612749,2020-02-10,East,53,46,7,0.87,25-3,21-4
707,1610612761,2020-02-10,East,54,40,14,0.74,21-7,19-7
708,1610612738,2020-02-10,East,52,37,15,0.71,22-5,15-10
709,1610612748,2020-02-10,East,53,35,18,0.66,22-3,13-15
710,1610612755,2020-02-10,East,54,33,21,0.61,24-2,9-19
711,1610612754,2020-02-10,East,54,31,23,0.57,18-10,13-13
712,1610612751,2020-02-10,East,52,24,28,0.46,15-12,9-16
713,1610612753,2020-02-10,East,54,23,31,0.43,14-13,9-18
714,1610612764,2020-02-10,East,51,18,33,0.35,12-13,6-20
715,1610612741,2020-02-10,East,54,19,35,0.35,11-16,8-19
716,1610612765,2020-02-10,East,56,19,37,0.34,11-19,8-18
717,1610612766,2020-02-10,East,53,17,36,0.32,8-17,9-19
718,1610612752,2020-02-10,East,54,17,37,0.31,8-18,9-19
719,1610612737,2020-02-10,East,55,15,40,0.27,9-17,6-23
720,1610612739,2020-02-10,East,53,13,40,0.25,6-22,7-18
721,1610612749,2020-02-09,East,52,45,7,0.87,24-3,21-4
722,1610612761,2020-02-09,East,53,39,14,0.74,20-7,19-7
723,1610612738,2020-02-09,East,52,37,15,0.71,22-5,15-10
724,1610612748,2020-02-09,East,52,34,18,0.65,22-3,12-15
725,1610612755,2020-02-09,East,54,33,21,0.61,24-2,9-19
726,1610612754,2020-02-09,East,53,31,22,0.58,18-9,13-13
727,1610612751,2020-02-09,East,51,23,28,0.45,15-12,8-16
728,1610612753,2020-02-09,East,53,22,31,0.42,13-13,9-18
729,1610612764,2020-02-09,East,51,18,33,0.35,12-13,6-20
730,1610612741,2020-02-09,East,54,19,35,0.35,11-16,8-19
731,1610612765,2020-02-09,East,55,19,36,0.35,11-18,8-18
732,1610612752,2020-02-09,East,54,17,37,0.31,8-18,9-19
733,1610612766,2020-02-09,East,52,16,36,0.31,8-17,8-19
734,1610612737,2020-02-09,East,54,15,39,0.28,9-17,6-22
735,1610612739,2020-02-09,East,53,13,40,0.25,6-22,7-18
736,1610612749,2020-02-08,East,52,45,7,0.87,24-3,21-4
737,1610612761,2020-02-08,East,53,39,14,0.74,20-7,19-7
738,1610612738,2020-02-08,East,51,36,15,0.71,22-5,14-10
739,1610612748,2020-02-08,East,51,34,17,0.67,22-3,12-14
740,1610612755,2020-02-08,East,53,32,21,0.6,23-2,9-19
741,1610612754,2020-02-08,East,53,31,22,0.58,18-9,13-13
742,1610612751,2020-02-08,East,51,23,28,0.45,15-12,8-16
743,1610612753,2020-02-08,East,53,22,31,0.42,13-13,9-18
744,1610612764,2020-02-08,East,50,18,32,0.36,12-12,6-20
745,1610612741,2020-02-08,East,53,19,34,0.36,11-16,8-18
746,1610612765,2020-02-08,East,55,19,36,0.35,11-18,8-18
747,1610612752,2020-02-08,East,53,17,36,0.32,8-18,9-18
748,1610612766,2020-02-08,East,52,16,36,0.31,8-17,8-19
749,1610612737,2020-02-08,East,53,14,39,0.26,8-17,6-22
750,1610612739,2020-02-08,East,52,13,39,0.25,6-21,7-18
751,1610612749,2020-02-07,East,51,44,7,0.86,24-3,20-4
752,1610612761,2020-02-07,East,52,38,14,0.73,19-7,19-7
753,1610612738,2020-02-07,East,51,36,15,0.71,22-5,14-10
754,1610612748,2020-02-07,East,51,34,17,0.67,22-3,12-14
755,1610612755,2020-02-07,East,53,32,21,0.6,23-2,9-19
756,1610612754,2020-02-07,East,52,31,21,0.6,18-8,13-13
757,1610612751,2020-02-07,East,50,23,27,0.46,15-12,8-15
758,1610612753,2020-02-07,East,52,22,30,0.42,13-12,9-18
759,1610612764,2020-02-07,East,50,18,32,0.36,12-12,6-20
760,1610612741,2020-02-07,East,53,19,34,0.36,11-16,8-18
761,1610612765,2020-02-07,East,54,19,35,0.35,11-17,8-18
762,1610612766,2020-02-07,East,51,16,35,0.31,8-16,8-19
763,1610612752,2020-02-07,East,52,16,36,0.31,8-18,8-18
764,1610612737,2020-02-07,East,53,14,39,0.26,8-17,6-22
765,1610612739,2020-02-07,East,52,13,39,0.25,6-21,7-18
766,1610612749,2020-02-06,East,51,44,7,0.86,24-3,20-4
767,1610612761,2020-02-06,East,51,37,14,0.73,19-7,18-7
768,1610612738,2020-02-06,East,50,35,15,0.7,21-5,14-10
769,1610612748,2020-02-06,East,50,34,16,0.68,22-3,12-13
770,1610612754,2020-02-06,East,51,31,20,0.61,18-7,13-13
771,1610612755,2020-02-06,East,52,31,21,0.6,22-2,9-19
772,1610612751,2020-02-06,East,50,23,27,0.46,15-12,8-15
773,1610612753,2020-02-06,East,52,22,30,0.42,13-12,9-18
774,1610612741,2020-02-06,East,53,19,34,0.36,11-16,8-18
775,1610612765,2020-02-06,East,53,19,34,0.36,11-17,8-17
776,1610612764,2020-02-06,East,49,17,32,0.35,11-12,6-20
777,1610612766,2020-02-06,East,51,16,35,0.31,8-16,8-19
778,1610612752,2020-02-06,East,52,16,36,0.31,8-18,8-18
779,1610612737,2020-02-06,East,52,14,38,0.27,8-17,6-21
780,1610612739,2020-02-06,East,52,13,39,0.25,6-21,7-18
781,1610612749,2020-02-05,East,50,43,7,0.86,23-3,20-4
782,1610612761,2020-02-05,East,51,37,14,0.73,19-7,18-7
783,1610612738,2020-02-05,East,50,35,15,0.7,21-5,14-10
784,1610612748,2020-02-05,East,50,34,16,0.68,22-3,12-13
785,1610612754,2020-02-05,East,51,31,20,0.61,18-7,13-13
786,1610612755,2020-02-05,East,51,31,20,0.61,22-2,9-18
787,1610612751,2020-02-05,East,50,23,27,0.46,15-12,8-15
788,1610612753,2020-02-05,East,51,22,29,0.43,13-12,9-17
789,1610612741,2020-02-05,East,52,19,33,0.37,11-15,8-18
790,1610612765,2020-02-05,East,53,19,34,0.36,11-17,8-17
791,1610612764,2020-02-05,East,49,17,32,0.35,11-12,6-20
792,1610612766,2020-02-05,East,51,16,35,0.31,8-16,8-19
793,1610612752,2020-02-05,East,51,15,36,0.29,7-18,8-18
794,1610612737,2020-02-05,East,52,14,38,0.27,8-17,6-21
795,1610612739,2020-02-05,East,52,13,39,0.25,6-21,7-18
796,1610612749,2020-02-04,East,50,43,7,0.86,23-3,20-4
797,1610612761,2020-02-04,East,50,36,14,0.72,18-7,18-7
798,1610612738,2020-02-04,East,49,34,15,0.69,20-5,14-10
799,1610612748,2020-02-04,East,49,34,15,0.69,22-3,12-12
800,1610612754,2020-02-04,East,50,31,19,0.62,18-7,13-12
801,1610612755,2020-02-04,East,51,31,20,0.61,22-2,9-18
802,1610612751,2020-02-04,East,49,22,27,0.45,14-12,8-15
803,1610612753,2020-02-04,East,50,22,28,0.44,13-12,9-16
804,1610612741,2020-02-04,East,52,19,33,0.37,11-15,8-18
805,1610612764,2020-02-04,East,49,17,32,0.35,11-12,6-20
806,1610612765,2020-02-04,East,52,18,34,0.35,10-17,8-17
807,1610612766,2020-02-04,East,51,16,35,0.31,8-16,8-19
808,1610612752,2020-02-04,East,51,15,36,0.29,7-18,8-18
809,1610612737,2020-02-04,East,51,13,38,0.25,8-17,5-21
810,1610612739,2020-02-04,East,51,13,38,0.25,6-21,7-17
811,1610612747,2020-02-03,West,48,37,11,0.77,16-6,21-5
812,1610612746,2020-02-03,West,50,35,15,0.7,21-5,14-10
813,1610612743,2020-02-03,West,50,34,16,0.68,19-6,15-10
814,1610612762,2020-02-03,West,49,32,17,0.65,18-4,14-13
815,1610612745,2020-02-03,West,49,31,18,0.63,17-7,14-11
816,1610612742,2020-02-03,West,50,31,19,0.62,14-12,17-7
817,1610612760,2020-02-03,West,50,30,20,0.6,15-10,15-10
818,1610612763,2020-02-03,West,50,25,25,0.5,15-13,10-12
819,1610612757,2020-02-03,West,50,23,27,0.46,13-11,10-16
820,1610612759,2020-02-03,West,49,22,27,0.45,14-12,8-15
821,1610612740,2020-02-03,West,50,20,30,0.4,10-15,10-15
822,1610612756,2020-02-03,West,50,20,30,0.4,9-17,11-13
823,1610612758,2020-02-03,West,50,19,31,0.38,9-15,10-16
824,1610612750,2020-02-03,West,49,15,34,0.31,6-18,9-16
825,1610612744,2020-02-03,West,51,12,39,0.24,7-17,5-22
826,1610612747,2020-02-02,West,48,37,11,0.77,16-6,21-5
827,1610612746,2020-02-02,West,49,34,15,0.69,20-5,14-10
828,1610612743,2020-02-02,West,50,34,16,0.68,19-6,15-10
829,1610612762,2020-02-02,West,49,32,17,0.65,18-4,14-13
830,1610612745,2020-02-02,West,49,31,18,0.63,17-7,14-11
831,1610612742,2020-02-02,West,49,30,19,0.61,14-12,16-7
832,1610612760,2020-02-02,West,50,30,20,0.6,15-10,15-10
833,1610612763,2020-02-02,West,49,24,25,0.49,14-13,10-12
834,1610612757,2020-02-02,West,50,23,27,0.46,13-11,10-16
835,1610612759,2020-02-02,West,48,22,26,0.46,14-12,8-14
836,1610612756,2020-02-02,West,49,20,29,0.41,9-17,11-12
837,1610612740,2020-02-02,West,50,20,30,0.4,10-15,10-15
838,1610612758,2020-02-02,West,49,18,31,0.37,8-15,10-16
839,1610612750,2020-02-02,West,48,15,33,0.31,6-18,9-15
840,1610612744,2020-02-02,West,50,11,39,0.22,7-17,4-22
841,1610612747,2020-02-01,West,48,37,11,0.77,16-6,21-5
842,1610612743,2020-02-01,West,49,34,15,0.69,19-6,15-9
843,1610612746,2020-02-01,West,49,34,15,0.69,20-5,14-10
844,1610612762,2020-02-01,West,49,32,17,0.65,18-4,14-13
845,1610612745,2020-02-01,West,48,30,18,0.63,16-7,14-11
846,1610612742,2020-02-01,West,49,30,19,0.61,14-12,16-7
847,1610612760,2020-02-01,West,50,30,20,0.6,15-10,15-10
848,1610612763,2020-02-01,West,49,24,25,0.49,14-13,10-12
849,1610612757,2020-02-01,West,50,23,27,0.46,13-11,10-16
850,1610612759,2020-02-01,West,48,22,26,0.46,14-12,8-14
851,1610612756,2020-02-01,West,48,20,28,0.42,9-17,11-11
852,1610612740,2020-02-01,West,49,20,29,0.41,10-15,10-14
853,1610612758,2020-02-01,West,49,18,31,0.37,8-15,10-16
854,1610612750,2020-02-01,West,48,15,33,0.31,6-18,9-15
855,1610612744,2020-02-01,West,50,11,39,0.22,7-17,4-22
856,1610612747,2020-01-31,West,47,36,11,0.77,16-6,20-5
857,1610612743,2020-01-31,West,49,34,15,0.69,19-6,15-9
858,1610612746,2020-01-31,West,48,33,15,0.69,19-5,14-10
859,1610612762,2020-01-31,West,48,32,16,0.67,18-4,14-12
860,1610612745,2020-01-31,West,48,30,18,0.63,16-7,14-11
861,1610612742,2020-01-31,West,48,29,19,0.6,13-12,16-7
862,1610612760,2020-01-31,West,50,30,20,0.6,15-10,15-10
863,1610612763,2020-01-31,West,49,24,25,0.49,14-13,10-12
864,1610612757,2020-01-31,West,49,22,27,0.45,12-11,10-16
865,1610612759,2020-01-31,West,47,21,26,0.45,13-12,8-14
866,1610612756,2020-01-31,West,48,20,28,0.42,9-17,11-11
867,1610612740,2020-01-31,West,49,20,29,0.41,10-15,10-14
868,1610612758,2020-01-31,West,48,18,30,0.38,8-14,10-16
869,1610612750,2020-01-31,West,47,15,32,0.32,6-18,9-14
870,1610612744,2020-01-31,West,49,10,39,0.2,7-17,3-22
871,1610612747,2020-01-30,West,46,36,10,0.78,16-5,20-5
872,1610612743,2020-01-30,West,48,33,15,0.69,19-6,14-9
873,1610612746,2020-01-30,West,48,33,15,0.69,19-5,14-10
874,1610612762,2020-01-30,West,48,32,16,0.67,18-4,14-12
875,1610612742,2020-01-30,West,47,29,18,0.62,13-12,16-6
876,1610612745,2020-01-30,West,47,29,18,0.62,15-7,14-11
877,1610612760,2020-01-30,West,49,29,20,0.59,15-10,14-10
878,1610612763,2020-01-30,West,48,24,24,0.5,14-13,10-11
879,1610612759,2020-01-30,West,47,21,26,0.45,13-12,8-14
880,1610612757,2020-01-30,West,48,21,27,0.44,12-11,9-16
881,1610612756,2020-01-30,West,47,20,27,0.43,9-16,11-11
882,1610612740,2020-01-30,West,48,19,29,0.4,9-15,10-14
883,1610612758,2020-01-30,West,48,18,30,0.38,8-14,10-16
884,1610612750,2020-01-30,West,47,15,32,0.32,6-18,9-14
885,1610612744,2020-01-30,West,49,10,39,0.2,7-17,3-22
886,1610612747,2020-01-29,West,46,36,10,0.78,16-5,20-5
887,1610612746,2020-01-29,West,47,33,14,0.7,19-4,14-10
888,1610612743,2020-01-29,West,47,32,15,0.68,18-6,14-9
889,1610612762,2020-01-29,West,47,32,15,0.68,18-4,14-11
890,1610612742,2020-01-29,West,47,29,18,0.62,13-12,16-6
891,1610612745,2020-01-29,West,47,29,18,0.62,15-7,14-11
892,1610612760,2020-01-29,West,49,29,20,0.59,15-10,14-10
893,1610612763,2020-01-29,West,48,24,24,0.5,14-13,10-11
894,1610612759,2020-01-29,West,47,21,26,0.45,13-12,8-14
895,1610612757,2020-01-29,West,48,21,27,0.44,12-11,9-16
896,1610612756,2020-01-29,West,47,20,27,0.43,9-16,11-11
897,1610612740,2020-01-29,West,48,19,29,0.4,9-15,10-14
898,1610612758,2020-01-29,West,47,17,30,0.36,8-14,9-16
899,1610612750,2020-01-29,West,47,15,32,0.32,6-18,9-14
900,1610612744,2020-01-29,West,48,10,38,0.21,7-17,3-21
901,1610612749,2020-02-03,East,49,42,7,0.86,23-3,19-4
902,1610612761,2020-02-03,East,50,36,14,0.72,18-7,18-7
903,1610612738,2020-02-03,East,49,34,15,0.69,20-5,14-10
904,1610612748,2020-02-03,East,49,34,15,0.69,22-3,12-12
905,1610612754,2020-02-03,East,50,31,19,0.62,18-7,13-12
906,1610612755,2020-02-03,East,51,31,20,0.61,22-2,9-18
907,1610612751,2020-02-03,East,49,22,27,0.45,14-12,8-15
908,1610612753,2020-02-03,East,50,22,28,0.44,13-12,9-16
909,1610612741,2020-02-03,East,52,19,33,0.37,11-15,8-18
910,1610612764,2020-02-03,East,49,17,32,0.35,11-12,6-20
911,1610612765,2020-02-03,East,52,18,34,0.35,10-17,8-17
912,1610612766,2020-02-03,East,50,16,34,0.32,8-16,8-18
913,1610612752,2020-02-03,East,51,15,36,0.29,7-18,8-18
914,1610612737,2020-02-03,East,51,13,38,0.25,8-17,5-21
915,1610612739,2020-02-03,East,51,13,38,0.25,6-21,7-17
916,1610612749,2020-02-02,East,49,42,7,0.86,23-3,19-4
917,1610612761,2020-02-02,East,50,36,14,0.72,18-7,18-7
918,1610612738,2020-02-02,East,48,33,15,0.69,20-5,13-10
919,1610612748,2020-02-02,East,48,33,15,0.69,21-3,12-12
920,1610612754,2020-02-02,East,49,31,18,0.63,18-6,13-12
921,1610612755,2020-02-02,East,50,31,19,0.62,22-2,9-17
922,1610612751,2020-02-02,East,48,21,27,0.44,13-12,8-15
923,1610612753,2020-02-02,East,49,21,28,0.43,13-12,8-16
924,1610612741,2020-02-02,East,52,19,33,0.37,11-15,8-18
925,1610612764,2020-02-02,East,48,17,31,0.35,11-11,6-20
926,1610612765,2020-02-02,East,51,18,33,0.35,10-17,8-16
927,1610612766,2020-02-02,East,49,16,33,0.33,8-15,8-18
928,1610612752,2020-02-02,East,50,14,36,0.28,7-18,7-18
929,1610612737,2020-02-02,East,50,13,37,0.26,8-16,5-21
930,1610612739,2020-02-02,East,50,13,37,0.26,6-20,7-17
931,1610612749,2020-02-01,East,48,41,7,0.85,22-3,19-4
932,1610612761,2020-02-01,East,49,35,14,0.71,17-7,18-7
933,1610612738,2020-02-01,East,48,33,15,0.69,20-5,13-10
934,1610612748,2020-02-01,East,48,33,15,0.69,21-3,12-12
935,1610612754,2020-02-01,East,49,31,18,0.63,18-6,13-12
936,1610612755,2020-02-01,East,50,31,19,0.62,22-2,9-17
937,1610612751,2020-02-01,East,48,21,27,0.44,13-12,8-15
938,1610612753,2020-02-01,East,49,21,28,0.43,13-12,8-16
939,1610612741,2020-02-01,East,51,19,32,0.37,11-15,8-17
940,1610612764,2020-02-01,East,48,17,31,0.35,11-11,6-20
941,1610612765,2020-02-01,East,50,17,33,0.34,9-17,8-16
942,1610612766,2020-02-01,East,49,16,33,0.33,8-15,8-18
943,1610612752,2020-02-01,East,50,14,36,0.28,7-18,7-18
944,1610612737,2020-02-01,East,50,13,37,0.26,8-16,5-21
945,1610612739,2020-02-01,East,50,13,37,0.26,6-20,7-17
946,1610612749,2020-01-31,East,48,41,7,0.85,22-3,19-4
947,1610612761,2020-01-31,East,49,35,14,0.71,17-7,18-7
948,1610612738,2020-01-31,East,47,32,15,0.68,19-5,13-10
949,1610612748,2020-01-31,East,47,32,15,0.68,21-3,11-12
950,1610612754,2020-01-31,East,48,31,17,0.65,18-5,13-12
951,1610612755,2020-01-31,East,49,31,18,0.63,22-2,9-16
952,1610612751,2020-01-31,East,47,21,26,0.45,13-12,8-14
953,1610612753,2020-01-31,East,48,21,27,0.44,13-11,8-16
954,1610612741,2020-01-31,East,51,19,32,0.37,11-15,8-17
955,1610612765,2020-01-31,East,50,17,33,0.34,9-17,8-16
956,1610612764,2020-01-31,East,47,16,31,0.34,10-11,6-20
957,1610612766,2020-01-31,East,48,16,32,0.33,8-15,8-17
958,1610612737,2020-01-31,East,49,13,36,0.27,8-16,5-20
959,1610612739,2020-01-31,East,49,13,36,0.27,6-19,7-17
960,1610612752,2020-01-31,East,49,13,36,0.27,7-18,6-18
961,1610612749,2020-01-30,East,47,41,6,0.87,22-2,19-4
962,1610612761,2020-01-30,East,48,34,14,0.71,17-7,17-7
963,1610612738,2020-01-30,East,47,32,15,0.68,19-5,13-10
964,1610612748,2020-01-30,East,47,32,15,0.68,21-3,11-12
965,1610612754,2020-01-30,East,48,31,17,0.65,18-5,13-12
966,1610612755,2020-01-30,East,49,31,18,0.63,22-2,9-16
967,1610612753,2020-01-30,East,48,21,27,0.44,13-11,8-16
968,1610612751,2020-01-30,East,46,20,26,0.43,12-12,8-14
969,1610612741,2020-01-30,East,50,19,31,0.38,11-15,8-16
970,1610612765,2020-01-30,East,49,17,32,0.35,9-16,8-16
971,1610612764,2020-01-30,East,47,16,31,0.34,10-11,6-20
972,1610612766,2020-01-30,East,48,16,32,0.33,8-15,8-17
973,1610612737,2020-01-30,East,49,13,36,0.27,8-16,5-20
974,1610612739,2020-01-30,East,49,13,36,0.27,6-19,7-17
975,1610612752,2020-01-30,East,49,13,36,0.27,7-18,6-18
976,1610612749,2020-01-29,East,47,41,6,0.87,22-2,19-4
977,1610612761,2020-01-29,East,47,33,14,0.7,17-7,16-7
978,1610612748,2020-01-29,East,47,32,15,0.68,21-3,11-12
979,1610612738,2020-01-29,East,46,31,15,0.67,18-5,13-10
980,1610612754,2020-01-29,East,48,31,17,0.65,18-5,13-12
981,1610612755,2020-01-29,East,48,31,17,0.65,22-2,9-15
982,1610612753,2020-01-29,East,48,21,27,0.44,13-11,8-16
983,1610612751,2020-01-29,East,46,20,26,0.43,12-12,8-14
984,1610612741,2020-01-29,East,50,19,31,0.38,11-15,8-16
985,1610612765,2020-01-29,East,49,17,32,0.35,9-16,8-16
986,1610612766,2020-01-29,East,47,16,31,0.34,8-15,8-16
987,1610612764,2020-01-29,East,46,15,31,0.33,9-11,6-20
988,1610612739,2020-01-29,East,48,13,35,0.27,6-18,7-17
989,1610612752,2020-01-29,East,49,13,36,0.27,7-18,6-18
990,1610612737,2020-01-29,East,48,12,36,0.25,7-16,5-20
991,1610612747,2020-01-28,West,46,36,10,0.78,16-5,20-5
992,1610612746,2020-01-28,West,47,33,14,0.7,19-4,14-10
993,1610612762,2020-01-28,West,46,32,14,0.7,18-4,14-10
994,1610612743,2020-01-28,West,47,32,15,0.68,18-6,14-9
995,1610612745,2020-01-28,West,46,29,17,0.63,15-7,14-10
996,1610612742,2020-01-28,West,47,29,18,0.62,13-12,16-6
997,1610612760,2020-01-28,West,48,28,20,0.58,15-10,13-10
998,1610612763,2020-01-28,West,47,23,24,0.49,14-13,9-11
999,1610612759,2020-01-28,West,46,20,26,0.43,12-12,8-14
1000,1610612756,2020-01-28,West,47,20,27,0.43,9-16,11-11
