"Equipe","Pontos"
"Hawks","112"
"Hornets","112"
"Raptors","111"
"Rockets","111"
"Cavaliers","111"
"Grizzlies","111"
"Trail Blazers","111"
"Jazz","111"
"Pelicans","111"
"Celtics","111"
"Nets","111"
"Wizards","111"
"Clippers","111"
"Hawks","111"
"Bucks","111"
"Pistons","111"
"Celtics","111"
"Mavericks","111"
"Grizzlies","111"
"76ers","111"
"Wizards","111"
"Trail Blazers","111"
"Nets","111"
"Thunder","111"
"Trail Blazers","111"
"Thunder","111"
"Pacers","111"
"Heat","111"
"Hawks","111"
"Celtics","111"
"Bucks","111"
"Spurs","111"
"Trail Blazers","111"
"Heat","111"
"Kings","111"
"Bulls","111"
"Nets","111"
"Pistons","111"
"Spurs","111"
"Nuggets","111"
"Wizards","111"
"Pistons","111"
"Bucks","111"
"Nets","111"
"Kings","111"
"Rockets","110"
"Heat","110"
"Hornets","110"
"Bulls","110"
"Grizzlies","110"
"Rockets","110"
"Thunder","110"
"Pacers","110"
"Grizzlies","110"
"Clippers","110"
"Suns","110"
"Cavaliers","110"
"76ers","110"
"Clippers","110"
"Grizzlies","110"
"Kings","110"
"Timberwolves","110"
"Bulls","110"
"Raptors","110"
"Rockets","110"
"Bucks","110"
"Grizzlies","109"
"Suns","109"
"Timberwolves","109"
"Celtics","109"
"Knicks","109"
"Thunder","109"
"Jazz","109"
"Pelicans","109"
"Heat","109"
"Pelicans","109"
"Timberwolves","109"
"Spurs","109"
"Celtics","109"
"Heat","109"
"Celtics","109"
"Cavaliers","109"
"Pelicans","109"
"Mavericks","109"
"Pistons","109"
"Timberwolves","109"
"Warriors","109"
"Suns","109"
"Clippers","109"
"Suns","109"
"Hornets","109"
"Mavericks","109"
"Celtics","109"
"Bucks","109"
"Pistons","109"
"Spurs","109"
"76ers","108"
"Celtics","108"
"Cavaliers","108"
"Bucks","108"
"Hawks","108"
"Kings","108"
"Spurs","108"
"Suns","108"
"Celtics","108"
"Bulls","108"
"Thunder","108"
"Knicks","108"
"Suns","108"
"Heat","108"
"Bulls","108"
"Nets","108"
"Mavericks","108"
"Wizards","108"
"Suns","108"
"Bucks","107"
"Thunder","107"
"Knicks","107"
"Hawks","107"
"Mavericks","107"
"Mavericks","107"
"Lakers","107"
"Knicks","107"
"Pelicans","107"
"Mavericks","107"
"Nuggets","107"
"Hawks","107"
"Thunder","107"
"Raptors","107"
"Nuggets","107"
"Hawks","107"
"Spurs","107"
"Wizards","107"
"Suns","107"
"Hornets","107"
"Nets","107"
"Mavericks","107"
"Bucks","107"
"Jazz","107"
"Grizzlies","107"
"Suns","107"
"Bulls","107"
"Grizzlies","107"
"Pelicans","107"
"Spurs","107"
"Knicks","107"
"Thunder","107"
"Nets","107"
"Mavericks","107"
"Nuggets","107"
"Pacers","107"
"Lakers","107"
"Hawks","106"
"Wizards","106"
"Timberwolves","106"
"Knicks","106"
"Bulls","106"
"Warriors","106"
"Timberwolves","106"
"Bulls","106"
"Nets","106"
"Timberwolves","106"
"Nets","106"
"Nuggets","106"
"Grizzlies","106"
"76ers","106"
"Knicks","106"
"Magic","106"
"Kings","106"
"Pacers","106"
"Clippers","106"
"Trail Blazers","106"
"Cavaliers","106"
"Nets","106"
"Warriors","106"
"Clippers","105"
"Grizzlies","105"
"Hawks","105"
"Lakers","105"
"Heat","105"
"Raptors","105"
"Lakers","105"
"Nets","105"
"Knicks","105"
"Nuggets","105"
"Wizards","105"
"Pistons","105"
"Suns","105"
"Celtics","105"
"Cavaliers","105"
"Bulls","105"
"Mavericks","105"
"Bulls","105"
"Thunder","105"
"Spurs","105"
"Spurs","105"
"Nuggets","105"
"Timberwolves","105"
"76ers","105"
"Kings","105"
"Nets","105"
"Hornets","105"
"Pelicans","105"
"Jazz","104"
"Kings","104"
"Pelicans","104"
"Knicks","104"
"Nuggets","104"
"Pacers","104"
"Thunder","104"
"Bucks","104"
"Suns","104"
"Nets","104"
"Cavaliers","104"
"Thunder","104"
"Magic","104"
"Pistons","104"
"Nets","104"
"Rockets","104"
"Rockets","104"
"Pistons","104"
"Pacers","104"
"Thunder","104"
"Pacers","104"
"Timberwolves","104"
"Suns","104"
"Spurs","104"
"Warriors","104"
"Jazz","104"
"Kings","104"
"Nets","104"
"Thunder","104"
"Jazz","104"
"Warriors","104"
"Clippers","104"
"Clippers","104"
"Lakers","104"
"Hornets","104"
"Trail Blazers","104"
"Raptors","104"
"Clippers","104"
"Timberwolves","104"
"Wizards","103"
"Nuggets","103"
"Pistons","103"
"Magic","103"
"Warriors","103"
"Hornets","103"
"Cavaliers","103"
"Nuggets","103"
"Celtics","103"
"Clippers","103"
"Spurs","103"
"Timberwolves","103"
"Knicks","103"
"Grizzlies","103"
"Hornets","103"
"Cavaliers","103"
"Rockets","103"
"Spurs","103"
"Wizards","103"
"Mavericks","103"
"Suns","103"
"Cavaliers","103"
"Magic","103"
"Clippers","102"
"Kings","102"
"Grizzlies","102"
"Pistons","102"
"Lakers","102"
"Pelicans","102"
"Bulls","102"
"Hawks","102"
"Heat","102"
"Spurs","102"
"Bulls","102"
"Wizards","102"
"Warriors","102"
"Wizards","102"
"Kings","102"
"Jazz","102"
"Trail Blazers","102"
"Wizards","102"
"Raptors","102"
"Spurs","102"
"Magic","102"
"Suns","102"
"Wizards","102"
"Wizards","102"
"Lakers","102"
"Kings","102"
"Nets","102"
"Thunder","102"
"Heat","102"
"Nuggets","102"
"Knicks","102"
"Jazz","102"
"Heat","102"
"Pelicans","102"
"Lakers","102"
"Heat","102"
"Thunder","102"
"Bulls","102"
"Pacers","101"
"Wizards","101"
"Heat","101"
"Mavericks","101"
"Clippers","101"
"Kings","101"
"Bulls","101"
"Pacers","101"
"Kings","101"
"Hawks","101"
"Lakers","101"
"Hornets","101"
"Knicks","101"
"Nuggets","101"
"76ers","101"
"Suns","101"
"Trail Blazers","101"
"Bucks","101"
"Pacers","101"
"Hawks","101"
"Pistons","101"
"Hawks","101"
"Magic","101"
"Magic","100"
"Rockets","100"
"Clippers","100"
"Magic","100"
"Grizzlies","100"
"Pistons","100"
"Kings","100"
"Bulls","100"
"Raptors","100"
"Timberwolves","100"
"Pistons","100"
"Warriors","100"
"Spurs","100"
"Bucks","100"
"Nuggets","100"
"Warriors","100"
"76ers","100"
"Trail Blazers","100"
"Suns","100"
"Trail Blazers","100"
"Lakers","100"
"Jazz","100"
"Pistons","100"
"Hawks","100"
"Heat","100"
"Kings","100"
"Rockets","100"
"Timberwolves","99"
